Name,Price,Image URL,Website Link
Yellow Agria Potatoes,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045841.png?w=384,https://www.paknsave.co.nz/shop/product/5045841_kgm_000pns?name=-yellow-agria-potatoes
Anchor Blue Milk,5.34,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000527.png?w=384,https://www.paknsave.co.nz/shop/product/5000527_ea_000pns?name=anchor-blue-milk
Pams Colby Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268695.png?w=384,https://www.paknsave.co.nz/shop/product/5268695_ea_000pns?name=pams-colby-cheese
Sorbent Silky White Tissues,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001842.png?w=384,https://www.paknsave.co.nz/shop/product/5001842_ea_000pns?name=sorbent-silky-white-tissues
NZ Beef Prime Mince,12.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5125914.png?w=384,https://www.paknsave.co.nz/shop/product/5125914_kgm_000pns?name=-nz-beef-prime-mince
NZ Chicken Thighs Bone In,9.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5118844.png?w=384,https://www.paknsave.co.nz/shop/product/5118844_kgm_000pns?name=-nz-chicken-thighs-bone-in
Sunny Crust Multigrain Toast Bread,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013060.png?w=384,https://www.paknsave.co.nz/shop/product/5013060_ea_000pns?name=sunny-crust-multigrain-toast-bread
Molenberg Original Toast Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026127.png?w=384,https://www.paknsave.co.nz/shop/product/5026127_ea_000pns?name=molenberg-original-toast-bread
Pams Value Lite Milk,6.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201489.png?w=384,https://www.paknsave.co.nz/shop/product/5201489_ea_000pns?name=pams-value-lite-milk
Green Capsicum,1.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046505.png?w=384,https://www.paknsave.co.nz/shop/product/5046505_ea_000pns?name=-green-capsicum
Fresh Cut Lettuce,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046440.png?w=384,https://www.paknsave.co.nz/shop/product/5046440_ea_000pns?name=-fresh-cut-lettuce
Red Kumara,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5237500.png?w=384,https://www.paknsave.co.nz/shop/product/5237500_kgm_000pns?name=-red-kumara
Vogel's Original Mixed Grain Toast Bread,4.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5008561.png?w=384,https://www.paknsave.co.nz/shop/product/5008561_ea_000pns?name=vogel%27s-original-mixed-grain-toast-bread
Beef Rump Steak,24.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5103401.png?w=384,https://www.paknsave.co.nz/shop/product/5103401_kgm_000pns?name=-beef-rump-steak
Freya's Swiss Soya Linseed Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025751.png?w=384,https://www.paknsave.co.nz/shop/product/5025751_ea_000pns?name=freya%27s-swiss-soya-linseed-bread
Tip Top Oatilicious Toast Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5017010.png?w=384,https://www.paknsave.co.nz/shop/product/5017010_ea_000pns?name=tip-top-oatilicious-toast-bread
Chicken Nibbles,10.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5100208.png?w=384,https://www.paknsave.co.nz/shop/product/5100208_kgm_000pns?name=-chicken-nibbles
Pams Value Standard Milk,2.94,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201800.png?w=384,https://www.paknsave.co.nz/shop/product/5201800_ea_000pns?name=pams-value-standard-milk
Orange Kumara,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040011.png?w=384,https://www.paknsave.co.nz/shop/product/5040011_kgm_000pns?name=-orange-kumara
Anchor Butter,9.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002650.png?w=384,https://www.paknsave.co.nz/shop/product/5002650_ea_000pns?name=anchor-butter
Lamb Leg Roast,18.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5104657.png?w=384,https://www.paknsave.co.nz/shop/product/5104657_kgm_000pns?name=-lamb-leg-roast
Green Cabbage,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039960.png?w=384,https://www.paknsave.co.nz/shop/product/5039960_ea_000pns?name=-green-cabbage
Pams White 2Ply Paper Towels,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003810.png?w=384,https://www.paknsave.co.nz/shop/product/5003810_ea_000pns?name=pams-white-2ply-paper-towels
Freya's Tuscan Mixed Grain Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025749.png?w=384,https://www.paknsave.co.nz/shop/product/5025749_ea_000pns?name=freya%27s-tuscan-mixed-grain-bread
Pams Standard UHT Milk,2.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004752.png?w=384,https://www.paknsave.co.nz/shop/product/5004752_ea_000pns?name=pams-standard-uht-milk
Bluebird Originals Chicken Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010716.png?w=384,https://www.paknsave.co.nz/shop/product/5010716_ea_000pns?name=bluebird-originals-chicken-potato-chips
Tip Top Supersoft White Super Thick Bread,3.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5023801.png?w=384,https://www.paknsave.co.nz/shop/product/5023801_ea_000pns?name=tip-top-supersoft-white-super-thick-bread
Yellow Capsicum,1.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046504.png?w=384,https://www.paknsave.co.nz/shop/product/5046504_ea_000pns?name=-yellow-capsicum
Golden Crumpets,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007583.png?w=384,https://www.paknsave.co.nz/shop/product/5007583_ea_000pns?name=golden-crumpets
NZ Pork Leg Roast,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5125281.png?w=384,https://www.paknsave.co.nz/shop/product/5125281_kgm_000pns?name=-nz-pork-leg-roast
Sunny Crust Wholemeal Toast Bread,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013059.png?w=384,https://www.paknsave.co.nz/shop/product/5013059_ea_000pns?name=sunny-crust-wholemeal-toast-bread
Pure NZ Spring Water,0.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007226.png?w=384,https://www.paknsave.co.nz/shop/product/5007226_ea_000pns?name=pure-nz-spring-water
Anchor Blue Milk,7.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5016750.png?w=384,https://www.paknsave.co.nz/shop/product/5016750_ea_000pns?name=anchor-blue-milk
Value Brown Onions,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264168.png?w=384,https://www.paknsave.co.nz/shop/product/5264168_ea_000pns?name=value-brown-onions
Eggplant (Aubergine),2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039972.png?w=384,https://www.paknsave.co.nz/shop/product/5039972_ea_000pns?name=-eggplant-(aubergine)
Leeks,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039985.png?w=384,https://www.paknsave.co.nz/shop/product/5039985_ea_000pns?name=-leeks
Coca-Cola Soft Drink,4.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001903.png?w=384,https://www.paknsave.co.nz/shop/product/5001903_ea_000pns?name=coca-cola-soft-drink
Bluebird Originals Sour Cream & Chives Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010720.png?w=384,https://www.paknsave.co.nz/shop/product/5010720_ea_000pns?name=bluebird-originals-sour-cream--chives-potato-chips
Bluebird Originals Salt & Vinegar Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010719.png?w=384,https://www.paknsave.co.nz/shop/product/5010719_ea_000pns?name=bluebird-originals-salt--vinegar-potato-chips
Pams Diced Tomatoes In Juice,1.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5005955.png?w=384,https://www.paknsave.co.nz/shop/product/5005955_ea_000pns?name=pams-diced-tomatoes-in-juice
Coca-Cola Soft Drink,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001548.png?w=384,https://www.paknsave.co.nz/shop/product/5001548_ea_000pns?name=coca-cola-soft-drink
NZ Celery,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046562.png?w=384,https://www.paknsave.co.nz/shop/product/5046562_ea_000pns?name=-nz-celery
Fancy Green Lettuce,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5047010.png?w=384,https://www.paknsave.co.nz/shop/product/5047010_ea_000pns?name=-fancy-green-lettuce
Purex Mega Long White 2 Ply Toilet Rolls,5.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5018101.png?w=384,https://www.paknsave.co.nz/shop/product/5018101_ea_000pns?name=purex-mega-long-white-2-ply-toilet-rolls
Bluebird Thinly Cut Ready Salted Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5034758.png?w=384,https://www.paknsave.co.nz/shop/product/5034758_ea_000pns?name=bluebird-thinly-cut-ready-salted-potato-chips
Beehive Shoulder Bacon,4.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011576.png?w=384,https://www.paknsave.co.nz/shop/product/5011576_ea_000pns?name=beehive-shoulder-bacon
Anchor Pure Cream,4.64,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026102.png?w=384,https://www.paknsave.co.nz/shop/product/5026102_ea_000pns?name=anchor-pure-cream
Sunrise Table spread,2.45,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002667.png?w=384,https://www.paknsave.co.nz/shop/product/5002667_ea_000pns?name=sunrise-table-spread
Pams White Sugar,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003885.png?w=384,https://www.paknsave.co.nz/shop/product/5003885_ea_000pns?name=pams-white-sugar
Green Cabbage Half,1.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046517.png?w=384,https://www.paknsave.co.nz/shop/product/5046517_ea_000pns?name=-green-cabbage-half
Solo's Choice Coconut Cream,1.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001970.png?w=384,https://www.paknsave.co.nz/shop/product/5001970_ea_000pns?name=solo%27s-choice-coconut-cream
Anchor Blue Milk,3.25,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000518.png?w=384,https://www.paknsave.co.nz/shop/product/5000518_ea_000pns?name=anchor-blue-milk
Green Kiwifruit,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039976.png?w=384,https://www.paknsave.co.nz/shop/product/5039976_kgm_000pns?name=-green-kiwifruit
Sealord Lemon Pepper Flavour Tuna,1.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009951.png?w=384,https://www.paknsave.co.nz/shop/product/5009951_ea_000pns?name=sealord-lemon-pepper-flavour-tuna
Purex Soft White 2 Ply Toilet Rolls,11.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5030695.png?w=384,https://www.paknsave.co.nz/shop/product/5030695_ea_000pns?name=purex-soft-white-2-ply-toilet-rolls
Beehive Shaved Champagne Ham,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013751.png?w=384,https://www.paknsave.co.nz/shop/product/5013751_ea_000pns?name=beehive-shaved-champagne-ham
Vogel's Original Mixed Grain Sandwich Bread,4.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5025965.png?w=384,https://www.paknsave.co.nz/shop/product/5025965_ea_000pns?name=vogel%27s-original-mixed-grain-sandwich-bread
Ploughmans Bakery Soy & Canterbury Linseed Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011078.png?w=384,https://www.paknsave.co.nz/shop/product/5011078_ea_000pns?name=ploughmans-bakery-soy--canterbury-linseed-bread
Molenberg Original Sandwich Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5026046.png?w=384,https://www.paknsave.co.nz/shop/product/5026046_ea_000pns?name=molenberg-original-sandwich-bread
Pams Baby Spinach,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040464.png?w=384,https://www.paknsave.co.nz/shop/product/5040464_ea_000pns?name=pams-baby-spinach
Farmer Brown Fresh Colony Size 7 Eggs,8.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5240876.png?w=384,https://www.paknsave.co.nz/shop/product/5240876_ea_000pns?name=farmer-brown-fresh-colony-size-7-eggs
Best Foods Real Mayonnaise,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004590.png?w=384,https://www.paknsave.co.nz/shop/product/5004590_ea_000pns?name=best-foods-real-mayonnaise
Country Soft Canola Oil And Buttermilk Spread,4.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007348.png?w=384,https://www.paknsave.co.nz/shop/product/5007348_ea_000pns?name=country-soft-canola-oil-and-buttermilk-spread
Value White 2 Ply Facial Tissues,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5216883.png?w=384,https://www.paknsave.co.nz/shop/product/5216883_ea_000pns?name=value-white-2-ply-facial-tissues
Sealord Smoked Flavour Tuna,1.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009952.png?w=384,https://www.paknsave.co.nz/shop/product/5009952_ea_000pns?name=sealord-smoked-flavour-tuna
UFC Coconut Water,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5008967.png?w=384,https://www.paknsave.co.nz/shop/product/5008967_ea_000pns?name=ufc-coconut-water
Ploughmans Bakery Country Grains Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011074.png?w=384,https://www.paknsave.co.nz/shop/product/5011074_ea_000pns?name=ploughmans-bakery-country-grains-bread
V Blue Guarana Energy Drink,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007494.png?w=384,https://www.paknsave.co.nz/shop/product/5007494_ea_000pns?name=v-blue-guarana-energy-drink
Meadow Fresh Traditional Sour Cream,3.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5027140.png?w=384,https://www.paknsave.co.nz/shop/product/5027140_ea_000pns?name=meadow-fresh-traditional-sour-cream
White Button Mushrooms,10.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046533.png?w=384,https://www.paknsave.co.nz/shop/product/5046533_kgm_000pns?name=-white-button-mushrooms
Whittaker's Creamy Milk 33% Cocoa Milk Chocolate Block,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009651.png?w=384,https://www.paknsave.co.nz/shop/product/5009651_ea_000pns?name=whittaker%27s-creamy-milk-33%25-cocoa-milk-chocolate-block
Value Cheddar Flavoured Processed Cheese Slices,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5140580.png?w=384,https://www.paknsave.co.nz/shop/product/5140580_ea_000pns?name=value-cheddar-flavoured-processed-cheese-slices
Wattie's Spaghetti In Tomato Sauce,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002082.png?w=384,https://www.paknsave.co.nz/shop/product/5002082_ea_000pns?name=wattie%27s-spaghetti-in-tomato-sauce
Anchor Calci-Yum Chocolate Flavour Milk,1.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010693.png?w=384,https://www.paknsave.co.nz/shop/product/5010693_ea_000pns?name=anchor-calci-yum-chocolate-flavour-milk
Pams Pure Plain Flour,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003829.png?w=384,https://www.paknsave.co.nz/shop/product/5003829_ea_000pns?name=pams-pure-plain-flour
Pams Cream,8.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028855.png?w=384,https://www.paknsave.co.nz/shop/product/5028855_ea_000pns?name=pams-cream
