Name,Price,Image URL
Sunny Crust Multigrain Toast Bread,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013060.png?w=384
Red Kumara,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5237500.png?w=384
Ciabatta Buns,6.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5118178.png?w=384
Orange Kumara,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040011.png?w=384
Sorbent Silky White Long Roll 3 Ply Toilet Rolls,8.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5019669.png?w=384
Pams Washed Carrots,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264186.png?w=384
Pams Fresh Cherry Tomatoes,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039973.png?w=384
Pams Colby Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268695.png?w=384
Large Navel Oranges,6.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046549.png?w=384
Anchor Pure Cream,3.23,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000526.png?w=384
Navel Oranges,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046611.png?w=384
Green Cabbage Half,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046517.png?w=384
Pams Value Trim Milk,4.48,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201486.png?w=384
Beef Rump Steak,26.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5103401.png?w=384
Bluebird Originals Salt & Vinegar Potato Chips,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010719.png?w=384
Anchor Butter,9.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002650.png?w=384
Coca-Cola Soft Drink,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001548.png?w=384
Tip Top Supersoft White Sandwich Bread,4.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009505.png?w=384
Ambrosia Apples,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046462.png?w=384
Vogel's Original Mixed Grain Very Thin Bread,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013204.png?w=384
Pams 3 Ply White Long Roll Toilet Tissues,6.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5211107.png?w=384
Sorbent Silky White Tissues,3.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001842.png?w=384
Campari Vine Tomatoes,3.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046412.png?w=384
Mandarins Imported,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046917.png?w=384
Spring Onions,2.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040009.png?w=384
Pams Brown Onions.,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264187.png?w=384
Green Capsicum,1.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046505.png?w=384
Ploughmans Bakery Country Grains Bread,4.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011074.png?w=384
Bluebird Originals Chicken Potato Chips,2.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010716.png?w=384
Pams Value Table Spread,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5094652.png?w=384
Plain White Rolls,3.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5121946.png?w=384
Sunny Crust Wholemeal Toast Bread,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013059.png?w=384
Copper Kettle Sea Salt Potato Chips,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010663.png?w=384
